time, value
2711, 1875
2715, 1877
2719, 1879
2723, 1878
2727, 1880
2731, 1877
2735, 1879
2739, 1878
2743, 1877
2747, 1874
2751, 1879
2755, 1877
2759, 1877
2763, 1874
2767, 1873
2771, 1878
2775, 1881
2779, 1878
2783, 1879
2787, 1879
2791, 1878
2795, 1873
2799, 1877
2803, 1874
2807, 1877
2811, 1879
2815, 1877
2819, 1883
2823, 1874
2827, 1878
2831, 1877
2835, 1878
2839, 1875
2843, 1877
2847, 1877
2851, 1877
2855, 1879
2859, 1862
2863, 1879
2867, 1875
2871, 1885
2875, 1874
2879, 1877
2883, 1873
2887, 1878
2891, 1882
2895, 1878
2899, 1873
2903, 1878
2907, 1878
2911, 1872
2915, 1877
2919, 1881
2923, 1877
2927, 1874
2931, 1878
2935, 1879
2939, 1873
2943, 1878
2947, 1881
2951, 1875
2955, 1877
2959, 1877
2963, 1876
2967, 1877
2971, 1872
2975, 1871
2979, 1877
2983, 1873
2987, 1877
2991, 1874
2995, 1878
2999, 1875
3003, 1877
3007, 1872
3011, 1871
3015, 1877
3019, 1874
3023, 1878
3027, 1873
3031, 1878
3035, 1878
3039, 1877
3043, 1878
3047, 1877
3051, 1877
3055, 1878
3059, 1876
3063, 1872
3067, 1873
3071, 1879
3075, 1874
3079, 1879
3083, 1875
3087, 1873
3091, 1875
3095, 1878
3099, 1876
3103, 1877
3107, 1874
3111, 1877
3115, 1876
3119, 1877
3123, 1877
3127, 1875
3131, 1876
3135, 1878
3139, 1875
3143, 1877
3147, 1875
3151, 1875
3155, 1874
3159, 1878
3163, 1874
3167, 1879
3171, 1875
3175, 1877
3179, 1877
3183, 1873
3187, 1875
3191, 1872
3195, 1876
3199, 1874
3203, 1879
3207, 1877
3211, 1875
3215, 1878
3219, 1877
3223, 1878
3227, 1877
3231, 1875
3235, 1874
3239, 1877
3243, 1878
3247, 1876
3251, 1877
3255, 1881
3259, 1877
3263, 1877
3267, 1877
3271, 1877
3275, 1878
3279, 1878
3283, 1878
3287, 1878
3291, 1875
3295, 1873
3299, 1878
3303, 1879
3307, 1875
3311, 1876
3315, 1877
3319, 1879
3323, 1875
3327, 1874
3331, 1875
3335, 1881
3339, 1879
3343, 1875
3347, 1874
3351, 1874
3355, 1878
3359, 1879
3363, 1877
3367, 1879
3371, 1878
3375, 1877
3379, 1876
3383, 1877
3387, 1875
3391, 1877
3395, 1879
3399, 1872
3403, 1876
3407, 1882
3411, 1875
3415, 1875
3419, 1875
3423, 1875
3427, 1875
3431, 1875
3435, 1874
3439, 1881
3443, 1878
3447, 1877
3451, 1877
3455, 1881
3459, 1879
3463, 1881
3467, 1877
3471, 1878
3475, 1881
3479, 1878
3483, 1874
3487, 1877
3491, 1875
3495, 1875
3499, 1879
3503, 1875
3507, 1873
3511, 1878
3515, 1878
3519, 1877
3523, 1876
3527, 1874
3531, 1877
3535, 1877
3539, 1877
3543, 1877
3547, 1876
3551, 1877
3555, 1878
3559, 1875
3563, 1876
3567, 1877
3571, 1879
3575, 1880
3579, 1875
3583, 1877
3587, 1879
3591, 1877
3595, 1879
3599, 1875
3603, 1879
3607, 1876
3611, 1877
3615, 1878
3619, 1877
3623, 1874
3627, 1877
3631, 1879
3635, 1877
3639, 1868
3643, 1877
3647, 1878
3651, 1874
3655, 1879
3659, 1879
3663, 1877
3667, 1877
3671, 1877
3675, 1876
3679, 1879
3683, 1878
3687, 1878
3691, 1881
3695, 1877
3699, 1877
3703, 1885
3707, 1872
3711, 1875
3715, 1879
3719, 1877
3723, 1878
3727, 1879
3731, 1877
3735, 1877
3739, 1878
3743, 1874
3747, 1877
3751, 1874
3755, 1877
3759, 1878
3763, 1875
3767, 1874
3771, 1875
3775, 1875
3779, 1874
3783, 1876
3787, 1877
3791, 1877
3795, 1879
3799, 1877
3803, 1877
3807, 1877
3811, 1879
3815, 1879
3819, 1875
3823, 1873
3827, 1877
3831, 1875
3835, 1875
3839, 1876
3843, 1873
3847, 1875
3851, 1878
3855, 1879
3859, 1875
3863, 1877
3867, 1878
3871, 1874
3875, 1874
3879, 1874
3883, 1874
3887, 1877
3891, 1878
3895, 1876
3899, 1875
3903, 1873
3907, 1881
3911, 1881
3915, 1877
3919, 1875
3923, 1877
3927, 1875
3931, 1875
3935, 1876
3939, 1874
3943, 1877
3947, 1877
3951, 1878
3955, 1878
3959, 1882
3963, 1877
3967, 1876
3971, 1878
3975, 1884
3979, 1878
3983, 1877
3987, 1875
3991, 1875
3995, 1878
3999, 1878
4003, 1875
4007, 1874
4011, 1877
4015, 1875
4019, 1879
4023, 1876
4027, 1875
4031, 1872
4035, 1874
4039, 1878
4043, 1877
4047, 1874
4051, 1877
4055, 1881
4059, 1878
4063, 1877
4067, 1876
4071, 1877
4075, 1876
4079, 1877
4083, 1878
4087, 1874
4091, 1879
4095, 1879
4099, 1875
4103, 1879
4107, 1875
4111, 1881
4115, 1872
4119, 1872
4123, 1879
4127, 1877
4131, 1879
4135, 1875
4139, 1877
4143, 1875
4147, 1878
4151, 1879
4155, 1878
4159, 1877
4163, 1875
4167, 1876
4171, 1877
4175, 1878
4179, 1877
4183, 1877
4187, 1875
4191, 1876
4195, 1877
4199, 1877
4203, 1878
4207, 1875
4211, 1879
4215, 1871
4219, 1879
4223, 1876
4227, 1879
