time, value
1393, 1846
1395, 1843
1397, 1845
1399, 1846
1401, 1845
1403, 1845
1405, 1846
1407, 1845
1409, 1846
1411, 1845
1413, 1846
1415, 1845
1417, 1845
1419, 1845
1421, 1844
1423, 1845
1425, 1843
1427, 1843
1429, 1846
1431, 1846
1433, 1845
1435, 1844
1437, 1844
1439, 1845
1441, 1845
1443, 1845
1445, 1846
1447, 1845
1449, 1845
1451, 1846
1453, 1845
1455, 1845
1457, 1847
1459, 1843
1461, 1843
1463, 1845
1465, 1843
1467, 1846
1469, 1846
1471, 1846
1473, 1845
1475, 1842
1477, 1846
1479, 1846
1481, 1845
1483, 1845
1485, 1845
1487, 1845
1489, 1845
1491, 1843
1493, 1846
1495, 1843
1497, 1845
1499, 1846
1501, 1846
1503, 1845
1505, 1846
1507, 1846
1509, 1844
1511, 1845
1513, 1844
1515, 1844
1517, 1845
1519, 1847
1521, 1845
1523, 1845
1525, 1846
1527, 1845
1529, 1843
1531, 1844
1533, 1845
1535, 1845
1537, 1845
1539, 1845
1541, 1845
1543, 1844
1545, 1845
1547, 1847
1549, 1843
1551, 1844
1553, 1846
1555, 1846
1557, 1846
1559, 1845
1561, 1846
1563, 1846
1565, 1844
1567, 1846
1569, 1843
1571, 1845
1573, 1846
1575, 1845
1577, 1845
1579, 1846
1581, 1845
1583, 1845
1585, 1845
1587, 1845
1589, 1846
1591, 1843
1593, 1844
1595, 1845
1597, 1846
1599, 1845
1601, 1846
1603, 1845
1605, 1847
1607, 1846
1609, 1844
1611, 1845
1613, 1843
1615, 1846
1617, 1847
1619, 1843
1621, 1845
1623, 1845
1625, 1846
1627, 1846
1629, 1843
1631, 1845
1633, 1845
1635, 1845
1637, 1843
1639, 1845
1641, 1845
1643, 1845
1645, 1845
1647, 1846
1649, 1845
1651, 1845
1653, 1843
1655, 1846
1657, 1843
1659, 1847
1661, 1845
1663, 1843
1665, 1847
1667, 1844
1669, 1845
1671, 1846
1673, 1846
1675, 1846
1677, 1846
1679, 1843
1681, 1845
1683, 1846
1685, 1847
1687, 1846
1689, 1845
1691, 1846
1693, 1846
1695, 1846
1697, 1847
1699, 1845
1701, 1843
1703, 1843
1705, 1847
1707, 1845
1709, 1845
1711, 1842
1713, 1845
1715, 1845
1717, 1845
1719, 1845
1721, 1846
1723, 1845
1725, 1845
1727, 1846
1729, 1845
1731, 1846
1733, 1845
1735, 1846
1737, 1846
1739, 1846
1741, 1845
1743, 1845
1745, 1847
