time, value, value2
526180, 2267, 2572
526184, 2267, 2571
526188, 2267, 2571
526192, 2269, 2576
526196, 2273, 2576
526200, 2266, 2569
526204, 2267, 2571
526208, 2266, 2573
526212, 2271, 2576
526216, 2271, 2577
526220, 2265, 2570
526224, 2271, 2571
526228, 2265, 2572
526232, 2271, 2576
526236, 2271, 2576
526240, 2257, 2572
526244, 2267, 2571
526248, 2269, 2571
526252, 2271, 2575
526256, 2273, 2576
526260, 2265, 2570
526264, 2268, 2571
526268, 2267, 2571
526272, 2270, 2576
526276, 2268, 2576
526280, 2267, 2569
526284, 2267, 2572
526288, 2269, 2573
526292, 2270, 2576
526296, 2271, 2576
526300, 2262, 2570
526304, 2266, 2573
526308, 2268, 2572
526312, 2269, 2576
526316, 2273, 2576
526320, 2265, 2569
526324, 2269, 2571
526328, 2267, 2572
526332, 2269, 2576
526336, 2271, 2577
526340, 2263, 2570
526344, 2266, 2574
526348, 2266, 2572
526352, 2270, 2576
526356, 2273, 2577
526360, 2263, 2571
526364, 2269, 2573
526368, 2267, 2571
526372, 2270, 2576
526376, 2271, 2576
526380, 2266, 2570
526384, 2265, 2574
526388, 2268, 2571
526392, 2271, 2575
526396, 2272, 2576
526400, 2265, 2571
526404, 2269, 2571
526408, 2269, 2571
526412, 2270, 2576
526416, 2271, 2576
526420, 2268, 2569
526424, 2266, 2573
526428, 2269, 2570
526432, 2272, 2576
526436, 2270, 2576
526440, 2265, 2568
526444, 2267, 2573
526448, 2265, 2571
526452, 2268, 2576
526456, 2270, 2576
526460, 2266, 2559
526464, 2270, 2571
526468, 2268, 2571
526472, 2270, 2576
526476, 2272, 2576
526480, 2263, 2571
526484, 2269, 2573
526488, 2266, 2573
526492, 2273, 2576
526496, 2272, 2577
526500, 2263, 2570
526504, 2266, 2571
526508, 2269, 2571
526512, 2270, 2575
526516, 2271, 2577
526520, 2265, 2566
526524, 2263, 2574
526528, 2269, 2570
526532, 2270, 2576
526536, 2272, 2576
526540, 2267, 2569
526544, 2267, 2570
526548, 2267, 2573
526552, 2270, 2576
526556, 2272, 2576
526560, 2265, 2559
526564, 2270, 2574
526568, 2265, 2571
526572, 2271, 2574
526576, 2271, 2576
526580, 2268, 2569
526584, 2267, 2573
526588, 2269, 2572
526592, 2267, 2576
526596, 2273, 2576
526600, 2266, 2569
526604, 2270, 2573
526608, 2266, 2571
526612, 2271, 2576
526616, 2272, 2576
526620, 2265, 2569
526624, 2269, 2572
526628, 2267, 2567
526632, 2271, 2576
526636, 2271, 2576
526640, 2266, 2559
526644, 2267, 2573
526648, 2268, 2572
526652, 2270, 2576
526656, 2273, 2576
526660, 2267, 2569
526664, 2269, 2573
526668, 2265, 2570
526672, 2271, 2576
526676, 2273, 2575
526680, 2267, 2569
526684, 2270, 2572
526688, 2268, 2573
526692, 2269, 2575
526696, 2271, 2575
